Account,date,classification,total_closed_pnl,num_trades,num_closes,num_liquidations,total_volume_usd,win_rate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-08,Extreme Greed,1218.4267,2,1,0,48774.27,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-12,Extreme Greed,2237.798674,93,86,0,261851.91,0.8255813953488372
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-13,Greed,6621.451755,71,61,0,330222.55,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-14,Greed,461.97292000000004,43,33,0,70396.23,0.9090909090909091
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,Greed,3774.08872,38,35,0,241097.24,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-16,Greed,2467.702221,46,43,0,181816.09,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-17,Greed,2441.4683999999997,14,13,0,97562.99,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-23,Greed,360.32138,12,3,0,40396.43,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-03,Neutral,-13.844579999999999,7,3,0,330.51,0.3333333333333333
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-05,Greed,0.916,2,1,0,82.3,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-07,Greed,0.0,1,0,0,47.59,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-08,Greed,1.56576,3,2,0,139.38,0.5
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-23,Extreme Greed,0.0,1,0,0,10.56,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-06-13,Greed,-1.40304,1,1,0,11.97,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-09,Extreme Greed,0.01574,7,4,0,117.12,0.75
